Year,Access to Basic Services,Sector,Wealth Index Quintile,Geopolitical zone,Education Status,State,GeoCode,Value
2017,Television,,,,,Ekiti,NGEK13,63.4
2017,Telephone,,,,,Ekiti,NGEK13,89.2
2021,Water,,,,,Ekiti,NGEK13,82.6
2021,Sanitation,,,,,Ekiti,NGEK13,25.4
2021,Electricity,,,,,Ekiti,NGEK13,63.9
2021,Radio,,,,,Ekiti,NGEK13,58.2
2021,Television,,,,,Ekiti,NGEK13,38.2
2021,Internet,,,,,Ekiti,NGEK13,22.7
2021,Telephone,,,,,Ekiti,NGEK13,93.2
2017,Water,,,,,Enugu,NGEN14,59.2
2017,Sanitation,,,,,Enugu,NGEN14,32.9
2017,Electricity,,,,,Enugu,NGEN14,70.1
2017,Radio,,,,,Enugu,NGEN14,61.7
2017,Television,,,,,Enugu,NGEN14,63.3
2017,Telephone,,,,,Enugu,NGEN14,87.7
2021,Water,,,,,Enugu,NGEN14,86.5
2021,Sanitation,,,,,Enugu,NGEN14,45.7
2021,Electricity,,,,,Enugu,NGEN14,81.1
2021,Radio,,,,,Enugu,NGEN14,49.8
2021,Television,,,,,Enugu,NGEN14,61.5
2021,Internet,,,,,Enugu,NGEN14,50.5
2021,Telephone,,,,,Enugu,NGEN14,92.7
2017,Water,,,,,Gombe,NGGO15,39.2
2017,Sanitation,,,,,Gombe,NGGO15,42.9
2017,Electricity,,,,,Gombe,NGGO15,41.2
2017,Radio,,,,,Gombe,NGGO15,47.2
2017,Television,,,,,Gombe,NGGO15,21.5
2017,Telephone,,,,,Gombe,NGGO15,63.3
2021,Water,,,,,Gombe,NGGO15,51.0
2021,Sanitation,,,,,Gombe,NGGO15,47.5
2021,Electricity,,,,,Gombe,NGGO15,40.2
2021,Radio,,,,,Gombe,NGGO15,41.7
2021,Television,,,,,Gombe,NGGO15,18.3
2021,Internet,,,,,Gombe,NGGO15,31.9
2021,Telephone,,,,,Gombe,NGGO15,81.2
2017,Water,,,,,Imo,NGIM16,92.2
2017,Sanitation,,,,,Imo,NGIM16,57.8
2017,Electricity,,,,,Imo,NGIM16,73.8
2017,Radio,,,,,Imo,NGIM16,67.3
2017,Television,,,,,Imo,NGIM16,72.5
2017,Telephone,,,,,Imo,NGIM16,90.5
2021,Water,,,,,Imo,NGIM16,90.8
2021,Sanitation,,,,,Imo,NGIM16,58.2
2021,Electricity,,,,,Imo,NGIM16,74.7
2021,Radio,,,,,Imo,NGIM16,57.6
2021,Television,,,,,Imo,NGIM16,60.7
2021,Internet,,,,,Imo,NGIM16,53.8
2021,Telephone,,,,,Imo,NGIM16,95.8
2017,Water,,,,,Jigawa,NGJI17,79.4
2017,Sanitation,,,,,Jigawa,NGJI17,32.8
2017,Electricity,,,,,Jigawa,NGJI17,25.7
2017,Radio,,,,,Jigawa,NGJI17,45.1
2017,Television,,,,,Jigawa,NGJI17,12.1
2017,Telephone,,,,,Jigawa,NGJI17,52.9
2021,Water,,,,,Jigawa,NGJI17,74.6
2021,Sanitation,,,,,Jigawa,NGJI17,29.2
2021,Electricity,,,,,Jigawa,NGJI17,12.7
2021,Radio,,,,,Jigawa,NGJI17,23.5
2021,Television,,,,,Jigawa,NGJI17,4.4
2021,Internet,,,,,Jigawa,NGJI17,28.3
2021,Telephone,,,,,Jigawa,NGJI17,73.8
2017,Water,,,,,Kaduna,NGKD18,61.1
2017,Sanitation,,,,,Kaduna,NGKD18,29.4
2017,Electricity,,,,,Kaduna,NGKD18,64.7
2017,Radio,,,,,Kaduna,NGKD18,76.2
2017,Television,,,,,Kaduna,NGKD18,53.6
2017,Telephone,,,,,Kaduna,NGKD18,75.6
2021,Water,,,,,Kaduna,NGKD18,66.0
2021,Sanitation,,,,,Kaduna,NGKD18,42.5
2021,Electricity,,,,,Kaduna,NGKD18,69.5
2021,Radio,,,,,Kaduna,NGKD18,47.8
2021,Television,,,,,Kaduna,NGKD18,49.6
2021,Internet,,,,,Kaduna,NGKD18,44.5
2021,Telephone,,,,,Kaduna,NGKD18,92.2
2017,Water,,,,,Kano,NGKN19,57.9
2017,Sanitation,,,,,Kano,NGKN19,55.1
2017,Electricity,,,,,Kano,NGKN19,46.8
2017,Radio,,,,,Kano,NGKN19,64.7
2017,Television,,,,,Kano,NGKN19,25.6
2017,Telephone,,,,,Kano,NGKN19,55.6
