Year,Series,Sector,Delivery coverage,Health service,Geopolitical Zone,State,GeoCode,Value
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Niger,NGNI26,13.8
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Ogun,NGOG27,35.0
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Ondo,NGON28,44.8
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Osun,NGOS29,43.0
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Oyo,NGOY30,37.4
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Plateau,NGPL31,30.6
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Rivers,NGRI32,44.8
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Sokoto,NGSO33,2.2
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Taraba,NGTA34,11.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Yobe,NGYO35,6.5
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Zamfara,NGZA36,4.9
2017,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,Federal Capital Territory,NGFC37,46.8
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Abia,NGAB01,39.6
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Adamawa,NGAD02,8.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Akwa Ibom,NGAK03,11.3
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Anambra,NGAN04,24.5
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Bauchi,NGBA05,15.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Bayelsa,NGBY06,43.8
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Borno,NGBO08,6.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Cross River,NGXR09,38.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Delta,NGDE10,15.6
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Ebonyi,NGEB11,10.9
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Edo,NGED12,54.7
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Enugu,NGEN14,49.8
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Gombe,NGGO15,15.2
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Imo,NGIM16,31.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Jigawa,NGJI17,12.7
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Kaduna,NGKD18,33.1
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Kano,NGKN19,23.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Katsina,NGKT20,22.5
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Kebbi,NGKE21,10.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Kogi,NGKO22,27.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Lagos,NGLA24,62.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Nasarawa,NGNA25,7.1
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Niger,NGNI26,16.7
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Ogun,NGOG27,29.8
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Ondo,NGON28,9.6
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Osun,NGOS29,20.2
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Oyo,NGOY30,34.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Plateau,NGPL31,18.2
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Rivers,NGRI32,8.3
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Sokoto,NGSO33,26.3
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Yobe,NGYO35,5.8
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Zamfara,NGZA36,9.4
2017,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,Federal Capital Territory,NGFC37,42.7
2021,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,,NG,22.0
2021,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,,,NG,69.6
2021,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,,,NG,48.9
2021,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,,,NG,44.2
2021,Coverage of essential health services,,Child Health,Anti-malaria treatment for children,,,NG,20.6
2021,Coverage of essential health services,Urban,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,,NG,27.0
2021,Coverage of essential health services,Urban,Reproductive and Maternal Health,Antenatal care coverage,,,NG,87.5
2021,Coverage of essential health services,Urban,Reproductive and Maternal Health,Delivery in a health facility,,,NG,74.3
2021,Coverage of essential health services,Urban,Child Health,Vacination/Immunization coverage,,,NG,38.5
2021,Coverage of essential health services,Urban,Child Health,Anti-malaria treatment for children,,,NG,26.1
2021,Coverage of essential health services,Rural,Reproductive and Maternal Health,Modern contraceptive prevalence rate,,,NG,12.2
2021,Coverage of essential health services,Rural,Reproductive and Maternal Health,Antenatal care coverage,,,NG,59.3
2021,Coverage of essential health services,Rural,Reproductive and Maternal Health,Delivery in a health facility,,,NG,34.5
2021,Coverage of essential health services,Rural,Child Health,Vacination/Immunization coverage,,,NG,15.7
