Year,Series,Sector,Category of school,School type,Geopolitical zone,State,Type of service,Units,GeoCode,Value
2019,"Proportion of schools access basic services, by type of service",Small Town,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,27.0
2019,"Proportion of schools access basic services, by type of service",,,Primary,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,48.8
2019,"Proportion of schools access basic services, by type of service",,,Secondary,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,61.4
2019,"Proportion of schools access basic services, by type of service",,,,,Abia,Availiabilty of Handwashing Facilities,Percentage (%),NGAB01,30.2
2019,"Proportion of schools access basic services, by type of service",,,,,Adamawa,Availiabilty of Handwashing Facilities,Percentage (%),NGAD02,6.3
2019,"Proportion of schools access basic services, by type of service",,,,,Akwa Ibom,Availiabilty of Handwashing Facilities,Percentage (%),NGAK03,35.9
2019,"Proportion of schools access basic services, by type of service",,,,,Anambra,Availiabilty of Handwashing Facilities,Percentage (%),NGAN04,41.0
2019,"Proportion of schools access basic services, by type of service",,,,,Bauchi,Availiabilty of Handwashing Facilities,Percentage (%),NGBA05,27.1
2019,"Proportion of schools access basic services, by type of service",,,,,Bayelsa,Availiabilty of Handwashing Facilities,Percentage (%),NGBY06,14.0
2019,"Proportion of schools access basic services, by type of service",,,,,Benue,Availiabilty of Handwashing Facilities,Percentage (%),NGBE07,42.0
2019,"Proportion of schools access basic services, by type of service",,,,,Borno,Availiabilty of Handwashing Facilities,Percentage (%),NGBO08,22.0
2019,"Proportion of schools access basic services, by type of service",,,,,Cross River,Availiabilty of Handwashing Facilities,Percentage (%),NGXR09,38.9
2019,"Proportion of schools access basic services, by type of service",,,,,Delta,Availiabilty of Handwashing Facilities,Percentage (%),NGDE10,23.6
2019,"Proportion of schools access basic services, by type of service",,,,,Ebonyi,Availiabilty of Handwashing Facilities,Percentage (%),NGEB11,18.0
2019,"Proportion of schools access basic services, by type of service",,,,,Edo,Availiabilty of Handwashing Facilities,Percentage (%),NGED12,21.4
2019,"Proportion of schools access basic services, by type of service",,,,,Ekiti,Availiabilty of Handwashing Facilities,Percentage (%),NGEK13,20.4
2019,"Proportion of schools access basic services, by type of service",,,,,Enugu,Availiabilty of Handwashing Facilities,Percentage (%),NGEN14,23.9
2019,"Proportion of schools access basic services, by type of service",,,,,Gombe,Availiabilty of Handwashing Facilities,Percentage (%),NGGO15,22.4
2019,"Proportion of schools access basic services, by type of service",,,,,Imo,Availiabilty of Handwashing Facilities,Percentage (%),NGIM16,41.1
2019,"Proportion of schools access basic services, by type of service",,,,,Jigawa,Availiabilty of Handwashing Facilities,Percentage (%),NGJI17,33.1
2019,"Proportion of schools access basic services, by type of service",,,,,Kaduna,Availiabilty of Handwashing Facilities,Percentage (%),NGKD18,15.5
2019,"Proportion of schools access basic services, by type of service",,,,,Kano,Availiabilty of Handwashing Facilities,Percentage (%),NGKN19,18.1
2019,"Proportion of schools access basic services, by type of service",,,,,Katsina,Availiabilty of Handwashing Facilities,Percentage (%),NGKT20,32.8
2019,"Proportion of schools access basic services, by type of service",,,,,Kebbi,Availiabilty of Handwashing Facilities,Percentage (%),NGKE21,0.0
2019,"Proportion of schools access basic services, by type of service",,,,,Kogi,Availiabilty of Handwashing Facilities,Percentage (%),NGKO22,0.0
