Year,Series,Tenure rights,Sector,Geopolitical zone,Sex,Units,GeoCode,Value
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,,South West,Female,Percentage (%),NGSWZ01,53.6
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,Urban,,Female,Percentage (%),NG,57.2
2019,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Tittle Deed,Rural,,Female,Percentage (%),NG,54.5
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,,Male,Percentage (%),NG,6.1
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North Central,Male,Percentage (%),NGNCZ06,8.5
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North East,Male,Percentage (%),NGNEZ05,2.5
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North West,Male,Percentage (%),NGNWZ04,6.7
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South East,Male,Percentage (%),NGSEZ03,10.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South South,Male,Percentage (%),NGSSZ02,5.6
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South West,Male,Percentage (%),NGSWZ01,1.3
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),Urban,,Male,Percentage (%),NG,8.1
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),Rural,,Male,Percentage (%),NG,5.8
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,,Female,Percentage (%),NG,7.3
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North Central,Female,Percentage (%),NGNCZ06,0.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North East,Female,Percentage (%),NGNEZ05,0.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,North West,Female,Percentage (%),NGNWZ04,24.6
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South East,Female,Percentage (%),NGSEZ03,36.8
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South South,Female,Percentage (%),NGSSZ02,0.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),,South West,Female,Percentage (%),NGSWZ01,0.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),Urban,,Female,Percentage (%),NG,28.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Certificate of Occupancy (CoFo),Rural,,Female,Percentage (%),NG,4.5
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,,Male,Percentage (%),NG,9.7
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North Central,Male,Percentage (%),NGNCZ06,13.9
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North East,Male,Percentage (%),NGNEZ05,10.7
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North West,Male,Percentage (%),NGNWZ04,1.7
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South East,Male,Percentage (%),NGSEZ03,17.9
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South South,Male,Percentage (%),NGSSZ02,19.7
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South West,Male,Percentage (%),NGSWZ01,14.3
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),Urban,,Male,Percentage (%),NG,11.3
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),Rural,,Male,Percentage (%),NG,9.4
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,,Female,Percentage (%),NG,13.8
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North Central,Female,Percentage (%),NGNCZ06,11.4
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North East,Female,Percentage (%),NGNEZ05,9.9
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,North West,Female,Percentage (%),NGNWZ04,0.0
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South East,Female,Percentage (%),NGSEZ03,32.5
2023,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation",Right of Occupancy (RoFo),,South South,Female,Percentage (%),NGSSZ02,13.8
