Year,Series,Sector,Gender,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Kebbi,,NGKE21,51.6
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Kogi,,NGKO22,46.7
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Kwara,,NGKW23,74.6
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Lagos,,NGLA24,93.7
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Nasarawa,,NGNA25,52.7
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Niger,,NGNI26,29.9
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Ogun,,NGOG27,58.6
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Ondo,,NGON28,60.8
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Osun,,NGOS29,78.0
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Oyo,,NGOY30,70.6
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Plateau,,NGPL31,55.2
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Rivers,,NGRI32,65.2
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Sokoto,,NGSO33,22.5
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Taraba,,NGTA34,31.7
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Yobe,,NGYO35,56.8
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Zamfara,,NGZA36,31.4
2021,"Proportion of children under 5 years of age whose births have been registered with a civil authority, by age",,,,,Federal Capital Territory,,NGFC37,87.3
