Year,Series,Measure,Sector,Geopolitical Zone,State,Unit multiplier,Units,GeoCode,Value
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Population Share,,,Federal Capital Territory,Units,Percentage (%),NGFC37,1.6
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,,Units,Millions,NG,132.92
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,Rural,,,Units,Millions,NG,105.98
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,Urban,,,Units,Millions,NG,26.94
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,North  Central,,Units,Millions,NGNCZ06,20.19
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,North East,,Units,Millions,NGNEZ05,20.47
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,North West,,Units,Millions,NGNWZ04,45.49
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,South East,,Units,Millions,NGSEZ03,10.85
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,South South,,Units,Millions,NGSSZ02,19.66
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,South West,,Units,Millions,NGSWZ01,16.27
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Abia,Units,Millions,NGAB01,1.12
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Adamawa,Units,Millions,NGAD02,3.44
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Akwa Ibom,Units,Millions,NGAK03,5.08
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Anambra,Units,Millions,NGAN04,1.64
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Bauchi,Units,Millions,NGBA05,5.71
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Bayelsa,Units,Millions,NGBY06,2.61
2022,Proportion of persons of all ages living in poverty in all its dimensions according to national definitions,Number of Poor,,,Benue,Units,Millions,NGBE07,4.71
