Year,Series,Haemoglobin level,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Maternity status,Age group,State,GeoCode,Value
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Oyo,NGOY30,28.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Plateau,NGPL31,25.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Rivers,NGRI32,24.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Sokoto,NGSO33,24.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Taraba,NGTA34,26.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Yobe,NGYO35,27.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Zamfara,NGZA36,24.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Mild 11.0-11.9 g/dl,,,,,,,Federal Capital Territory,NGFC37,27.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,,NG,33.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,Urban,,,,,,,NG,24.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,Rural,,,,,,,NG,31.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,Lowest,,,,,,NG,35.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,Second,,,,,,NG,32.1
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,Middle,,,,,,NG,28.4
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,Fourth,,,,,,NG,27.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,Highest,,,,,,NG,21.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,North  Central,,,,,NGNCZ06,27.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,North East,,,,,NGNEZ05,29.5
